id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
3696,915,806,915,915,915,unk,unk,3,1,1
3499,915,806,915,915,915,unk,unk,3,1,1
3270,806,706,806,915,915,unk,unk,2,4,0
3437,806,706,806,915,915,unk,unk,2,1,0
3642,915,806,915,915,915,unk,unk,3,3,1
3372,806,706,806,915,915,unk,unk,2,2,0
3419,806,706,806,915,915,unk,unk,2,1,0
3335,806,706,806,915,915,unk,unk,2,1,1
544,801,701,801,915,915,unk,unk,2,1,1
3301,806,706,806,915,915,unk,unk,2,2,1
3476,806,706,806,915,915,unk,unk,2,1,0
546,806,701,806,915,915,unk,unk,2,1,1
3311,806,706,806,915,915,unk,unk,2,2,1
9201,unk,unk,unk,915,915,unk,unk,3,unk,0
3442,806,706,806,915,915,unk,unk,2,1,0
3439,806,706,806,915,915,unk,unk,2,1,1
3354,806,706,806,915,915,unk,unk,2,2,1
3284,806,706,806,915,915,unk,unk,2,1,0
9240,unk,unk,unk,915,915,unk,unk,3,1,1
4612,915,804,917,915,915,unk,unk,3,1,0
3271,806,706,806,915,915,unk,unk,2,2,1
3504,915,806,915,915,915,unk,unk,3,1,0
8257,806,unk,806,915,915,unk,unk,2,unk,0
3603,916,806,917,915,915,unk,unk,3,1,1
3734,915,806,915,915,915,unk,unk,3,1,1
3703,915,806,915,915,915,unk,unk,3,1,0
3730,915,806,915,915,915,unk,unk,3,1,1
3306,806,706,806,915,915,unk,unk,2,1,1
3355,806,706,806,915,915,unk,unk,2,1,0
8260,806,unk,806,915,915,unk,unk,2,2,0
3652,915,806,915,915,915,unk,unk,3,2,0
4230,804,704,804,915,915,unk,unk,2,3,1
3741,915,806,915,915,915,unk,unk,3,1,0
3612,915,806,915,915,915,unk,unk,3,1,0
3392,806,706,806,915,915,unk,unk,2,1,1
3767,915,806,915,915,915,unk,unk,3,unk,0
3467,806,706,806,915,915,unk,unk,2,1,0
35,915,801,915,915,unk,unk,unk,3,1,0
3752,915,806,915,915,915,unk,unk,3,unk,0
3348,806,706,806,915,915,unk,unk,2,1,1
3327,806,706,806,915,915,unk,unk,2,2,0
3520,915,806,915,915,915,unk,unk,3,1,0
8294,915,unk,915,915,915,unk,unk,3,2,0
3747,915,806,915,915,915,unk,unk,3,2,0
3606,915,806,915,915,915,unk,unk,3,1,1
3717,915,806,915,915,915,unk,unk,3,unk,0
3362,806,706,806,915,915,unk,unk,2,1,0
3293,806,706,806,915,915,unk,unk,2,unk,1
9235,unk,unk,unk,915,915,unk,unk,3,1,0
9219,unk,unk,unk,915,915,unk,unk,3,1,0
3263,806,706,806,915,915,unk,unk,2,1,1
3654,915,806,915,915,915,unk,unk,3,1,0
3531,915,806,915,915,915,unk,unk,3,1,0
134,806,701,806,915,915,unk,unk,2,1,0
3461,806,706,806,915,915,unk,unk,2,1,1
8261,806,unk,806,915,915,unk,unk,2,unk,0
2325,915,806,915,915,unk,unk,unk,3,unk,0
8240,806,unk,806,915,915,unk,unk,2,4,1
3530,915,806,915,915,915,unk,unk,3,2,1
4674,915,13,915,915,915,unk,unk,3,2,0
3535,915,806,915,915,915,unk,unk,3,1,0
3483,806,706,806,915,915,unk,unk,2,1,1
8303,915,unk,915,915,915,unk,unk,3,1,0
3399,806,706,806,915,915,unk,unk,2,1,0
3413,806,706,806,915,915,unk,unk,2,1,0
3702,915,806,915,915,unk,unk,unk,3,3,1
3304,806,706,806,915,915,unk,unk,2,1,1
3778,806,706,806,915,915,unk,unk,2,2,1
3432,806,706,806,915,915,unk,unk,2,2,0
3550,915,806,915,915,915,unk,unk,3,1,1
3279,806,706,806,915,915,unk,unk,2,1,0
3743,915,806,915,915,915,unk,unk,3,1,0
9242,unk,unk,unk,915,915,unk,unk,3,1,1
3584,915,806,915,915,915,unk,unk,3,1,0
3705,915,806,915,915,915,unk,unk,3,4,1
8766,13,unk,unk,915,13,unk,unk,3,unk,1
